Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2018-11-24 04:56:43,false,"Alabang Running","26.09","966","03:38:53","113","150","2.0","151","181","8:24","5:25","146","150","0.79","0.0","33,152","26.0","No","--:--:--","27","35.0","03:37:28","03:46:12","10","83"
Running,2018-11-17 05:40:57,false,"Alabang Running","23.39","1,552","02:49:01","157","207","5.0","160","179","7:14","5:16","95","109","0.83","0.0","27,134","28.0","No","--:--:--","23","34.0","02:47:52","03:07:34","6","70"
Running,2018-09-08 06:28:28,false,"Alabang Running","20.01","1,520","01:59:31","156","183","5.0","173","185","5:58","4:15","81","83","0.97","0.0","20,656","29.0","No","--:--:--","21","34.0","01:59:39","02:05:54","16","29"
Running,2018-09-02 06:25:04,false,"Marcelo Green Running","20.01","1,550","02:01:39","162","187","5.0","171","178","6:05","4:27","101","105","0.96","0.0","20,736","28.0","No","--:--:--","21","31.0","02:01:47","02:07:46","27","47"
Running,2018-09-16 08:00:27,false,"Bataan Running","19.59","1,781","03:12:00","146","191","5.0","125","240","9:48","3:40","555","557","0.83","0.0","23,458","28.0","No","--:--:--","22","31.0","02:54:22","03:23:36","-349","116"
Running,2018-08-25 06:21:40,false,"Running","16.01","1,041","01:47:25","140","177","3.6","169","181","6:42","4:10","117","110","0.88","0.0","18,194","29.0","No","--:--:--","17","33.0","01:47:31","02:09:01","6","21"
Running,2018-08-21 06:24:17,false,"Running","15.45","1,066","01:34:08","146","186","5.0","170","177","6:06","5:02","67","72","0.96","0.0","16,016","29.0","No","--:--:--","16","33.0","01:34:07","01:42:52","18","29"
Running,2018-11-10 06:15:19,false,"Alabang Running","15.02","915","01:25:41","147","184","5.0","164","172","5:42","4:33","57","71","1.07","0.0","14,092","27.0","No","--:--:--","16","31.0","01:25:49","01:30:49","-65","-45"
Running,2019-02-16 06:15:43,false,"Alabang Running","10.51","492","01:09:11","128","163","2.3","169","179","6:35","4:16","41","43","0.87","0.0","11,712","26.0","No","00:04:58.0","11","30.0","01:08:20","01:14:22","12","29"
Treadmill Running,2019-02-04 06:23:30,false,"Treadmill Running","10.20","591","00:59:59","145","177","3.4","159","172","5:53","4:57","--","6","0.94","0.0","9,634","29.0","No","00:05:50.9","10","32.0","00:58:06","01:00:54","-20","-16"
Running,2018-12-09 06:59:59,false,"Pampanga Running","10.03","806","01:12:33","169","186","4.6","139","240","7:14","3:46","40","46","0.98","0.0","9,996","29.0","No","--:--:--","11","33.0","01:06:08","01:12:33","76","130"
Running,2023-07-30 08:17:58,false,"Sydney Running","10.02","724","00:57:26","151","171","3.9","172","250","5:44","4:33","143","144","1.01","0.0","9,912","19.0","No","00:02:07.5","7","24.0","00:57:13","00:58:44","46","104"
Running,2018-11-01 05:35:57,false,"Running","10.01","604","01:01:13","133","159","3.0","169","181","6:07","5:16","28","47","0.96","0.0","10,400","28.0","No","--:--:--","11","31.0","01:01:13","01:06:37","-40","-11"
Running,2018-10-27 06:33:20,false,"Running","10.01","780","01:04:45","146","173","3.8","171","179","6:28","5:41","115","62","0.91","0.0","11,030","26.0","No","--:--:--","11","29.0","01:04:43","01:06:59","-34","-10"
Running,2022-02-14 07:39:34,false,"Sydney Running","10.00","749","01:00:01","157","185","4.0","166","178","6:00","4:22","108","104","1.00","0.0","10,016","22.0","No","00:01:44.4","7","28.0","00:59:39","01:01:17","80","97"
Running,2018-06-02 06:01:29,false,"Alabang Running","10.00","964","01:03:27","166","186","5.0","161","193","6:21","4:21","75","78","0.98","0.0","10,172","30.0","No","--:--:--","10","32.0","01:02:13","01:11:30","11","35"
Running,2018-08-11 07:24:37,false,"Running","9.67","590","01:00:19","136","158","3.8","170","181","6:14","4:56","51","44","0.94","0.0","10,292","28.0","No","--:--:--","10","30.0","01:00:11","01:03:17","18","30"
Treadmill Running,2019-01-28 06:43:40,false,"Treadmill Running","8.85","691","01:03:04","167","187","5.0","157","170","7:08","6:30","--","8","0.84","0.0","9,920","29.0","No","--:--:--","9","32.0","01:01:11","01:03:04","28","33"
Running,2023-05-01 08:25:50,false,"Sydney Running","8.00","591","00:49:59","150","165","3.4","169","180","6:15","5:07","138","142","0.95","0.0","8,470","19.0","No","00:09:00.5","5","28.0","00:49:54","00:52:22","46","111"
Running,2022-11-19 07:43:14,false,"Sydney Running","7.51","567","00:47:32","150","167","3.4","164","177","6:20","4:19","28","99","0.96","0.0","7,866","23.0","No","00:06:26.8","5","28.0","00:47:20","00:48:18","1","21"
